WARNING:tensorflow:From /lustre/work/cse496dl/pmorrow4/homework3/model.py:61: calling reduce_sum (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
2019-04-05 17:37:00.503465: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2
2019-04-05 17:37:01.091403: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-04-05 17:37:01.094551: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: Tesla K20m major: 3 minor: 5 memoryClockRate(GHz): 0.7055
pciBusID: 0000:03:00.0
totalMemory: 4.63GiB freeMemory: 4.56GiB
2019-04-05 17:37:01.094614: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-04-05 17:37:01.557573: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-04-05 17:37:01.557693: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-04-05 17:37:01.557733: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-04-05 17:37:01.557992: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 4327 MB memory) -> physical GPU (device: 0, name: Tesla K20m, pci bus id: 0000:03:00.0, compute capability: 3.5)
TEST 1: Ep: 48, Score: 2838038.7875, Steps: 1146, n_steps: 5000, training_start: 1000
TEST 1: Ep: 49, Score: 2832100.5749999997, Steps: 1149, n_steps: 5000, training_start: 1000
TEST 1: Ep: 50, Score: 2837946.4, Steps: 1152, n_steps: 5000, training_start: 1000
TEST 1: Ep: 51, Score: 2885822.8375, Steps: 1155, n_steps: 5000, training_start: 1000
TEST 1: Ep: 52, Score: 2883345.7125, Steps: 1158, n_steps: 5000, training_start: 1000
TEST 1: Ep: 53, Score: 2889639.225, Steps: 1161, n_steps: 5000, training_start: 1000
TEST 1: Ep: 54, Score: 2892317.0375, Steps: 1164, n_steps: 5000, training_start: 1000
TEST 1: Ep: 55, Score: 2885439.9875, Steps: 1167, n_steps: 5000, training_start: 1000
TEST 1: Ep: 56, Score: 2880812.775, Steps: 1170, n_steps: 5000, training_start: 1000
TEST 1: Ep: 57, Score: 2894579.225, Steps: 1173, n_steps: 5000, training_start: 1000
TEST 1: Ep: 58, Score: 2880482.175, Steps: 1176, n_steps: 5000, training_start: 1000
TEST 1: Ep: 59, Score: 2883193.0, Steps: 1179, n_steps: 5000, training_start: 1000
TEST 1: Ep: 60, Score: 2885822.8375, Steps: 1182, n_steps: 5000, training_start: 1000
TEST 1: Ep: 61, Score: 2891586.9625, Steps: 1185, n_steps: 5000, training_start: 1000
TEST 1: Ep: 62, Score: 2888574.9875, Steps: 1188, n_steps: 5000, training_start: 1000
TEST 1: Ep: 63, Score: 2886290.2375, Steps: 1191, n_steps: 5000, training_start: 1000
TEST 1: Ep: 64, Score: 2893910.425, Steps: 1194, n_steps: 5000, training_start: 1000
TEST 1: Ep: 65, Score: 2889639.225, Steps: 1197, n_steps: 5000, training_start: 1000
TEST 1: Ep: 66, Score: 2887440.2125, Steps: 1200, n_steps: 5000, training_start: 1000
TEST 1: Ep: 67, Score: 2890241.525, Steps: 1203, n_steps: 5000, training_start: 1000
TEST 1: Ep: 68, Score: 2885713.8249999997, Steps: 1206, n_steps: 5000, training_start: 1000
TEST 1: Ep: 69, Score: 2877744.0375, Steps: 1209, n_steps: 5000, training_start: 1000
TEST 1: Ep: 70, Score: 2885222.4375, Steps: 1212, n_steps: 5000, training_start: 1000
TEST 1: Ep: 71, Score: 2888676.1625, Steps: 1215, n_steps: 5000, training_start: 1000
TEST 1: Ep: 72, Score: 2885822.8375, Steps: 1218, n_steps: 5000, training_start: 1000
TEST 1: Ep: 73, Score: 2886290.2375, Steps: 1221, n_steps: 5000, training_start: 1000
TEST 1: Ep: 74, Score: 2894629.5749999997, Steps: 1224, n_steps: 5000, training_start: 1000
TEST 1: Ep: 75, Score: 2894629.5749999997, Steps: 1227, n_steps: 5000, training_start: 1000
TEST 1: Ep: 76, Score: 3065420.8125, Steps: 1230, n_steps: 5000, training_start: 1000
TEST 1: Ep: 77, Score: 3097923.6374999997, Steps: 1233, n_steps: 5000, training_start: 1000
TEST 1: Ep: 78, Score: 3172831.375, Steps: 1236, n_steps: 5000, training_start: 1000
TEST 1: Ep: 79, Score: 3308273.1125, Steps: 1239, n_steps: 5000, training_start: 1000
TEST 1: Ep: 80, Score: 3516670.3375, Steps: 1242, n_steps: 5000, training_start: 1000
TEST 1: Ep: 81, Score: 3740314.8249999997, Steps: 1245, n_steps: 5000, training_start: 1000
TEST 1: Ep: 82, Score: 4071454.9, Steps: 1248, n_steps: 5000, training_start: 1000
TEST 1: Ep: 83, Score: 4303632.05, Steps: 1251, n_steps: 5000, training_start: 1000
TEST 1: Ep: 84, Score: 4675816.875, Steps: 1254, n_steps: 5000, training_start: 1000
TEST 1: Ep: 85, Score: 5399852.25, Steps: 1257, n_steps: 5000, training_start: 1000
TEST 1: Ep: 86, Score: 6378719.899999999, Steps: 1260, n_steps: 5000, training_start: 1000
TEST 1: Ep: 87, Score: 7633867.5, Steps: 1263, n_steps: 5000, training_start: 1000
TEST 1: Ep: 88, Score: 8933044.75, Steps: 1266, n_steps: 5000, training_start: 1000
TEST 1: Ep: 89, Score: 9375409.4, Steps: 1269, n_steps: 5000, training_start: 1000
TEST 1: Ep: 90, Score: 8816545.299999999, Steps: 1272, n_steps: 5000, training_start: 1000
TEST 1: Ep: 91, Score: 8815164.95, Steps: 1275, n_steps: 5000, training_start: 1000
TEST 1: Ep: 92, Score: 8809457.35, Steps: 1278, n_steps: 5000, training_start: 1000
TEST 1: Ep: 93, Score: 8846113.1, Steps: 1281, n_steps: 5000, training_start: 1000
TEST 1: Ep: 94, Score: 8847640.7, Steps: 1284, n_steps: 5000, training_start: 1000
TEST 1: Ep: 95, Score: 8824042.7, Steps: 1287, n_steps: 5000, training_start: 1000
TEST 1: Ep: 96, Score: 8826319.85, Steps: 1290, n_steps: 5000, training_start: 1000
TEST 1: Ep: 97, Score: 8827257.5, Steps: 1293, n_steps: 5000, training_start: 1000
TEST 1: Ep: 98, Score: 8854065.549999999, Steps: 1296, n_steps: 5000, training_start: 1000
TEST 1: Ep: 99, Score: 8851291.549999999, Steps: 1299, n_steps: 5000, training_start: 1000
TEST 1: Ep: 100, Score: 8830535.95, Steps: 1302, n_steps: 5000, training_start: 1000
TEST 1: Ep: 101, Score: 10006320.549999999, Steps: 1305, n_steps: 5000, training_start: 1000
TEST 1: Ep: 102, Score: 11589105.1, Steps: 1308, n_steps: 5000, training_start: 1000
TEST 1: Ep: 103, Score: 14390445.149999999, Steps: 1311, n_steps: 5000, training_start: 1000
TEST 1: Ep: 104, Score: 18565023.5, Steps: 1314, n_steps: 5000, training_start: 1000
TEST 1: Ep: 105, Score: 24398359.799999997, Steps: 1317, n_steps: 5000, training_start: 1000
TEST 1: Ep: 106, Score: 27239538.099999998, Steps: 1320, n_steps: 5000, training_start: 1000
TEST 1: Ep: 107, Score: 28450174.4, Steps: 1323, n_steps: 5000, training_start: 1000
TEST 1: Ep: 108, Score: 30504154.2, Steps: 1326, n_steps: 5000, training_start: 1000
TEST 1: Ep: 109, Score: 33531576.2, Steps: 1329, n_steps: 5000, training_start: 1000
TEST 1: Ep: 110, Score: 37324808.4, Steps: 1332, n_steps: 5000, training_start: 1000
TEST 1: Ep: 111, Score: 44625957.4, Steps: 1335, n_steps: 5000, training_start: 1000
TEST 1: Ep: 112, Score: 54998247.4, Steps: 1338, n_steps: 5000, training_start: 1000
TEST 1: Ep: 113, Score: 66383439.8, Steps: 1341, n_steps: 5000, training_start: 1000
TEST 1: Ep: 114, Score: 78970102.8, Steps: 1344, n_steps: 5000, training_start: 1000
TEST 1: Ep: 115, Score: 76219792.0, Steps: 1347, n_steps: 5000, training_start: 1000
TEST 1: Ep: 116, Score: 76126023.2, Steps: 1350, n_steps: 5000, training_start: 1000
TEST 1: Ep: 117, Score: 76313180.8, Steps: 1353, n_steps: 5000, training_start: 1000
TEST 1: Ep: 118, Score: 76514041.2, Steps: 1356, n_steps: 5000, training_start: 1000
TEST 1: Ep: 119, Score: 76270917.2, Steps: 1359, n_steps: 5000, training_start: 1000
TEST 1: Ep: 120, Score: 76496956.39999999, Steps: 1362, n_steps: 5000, training_start: 1000
TEST 1: Ep: 121, Score: 76232187.6, Steps: 1365, n_steps: 5000, training_start: 1000
TEST 1: Ep: 122, Score: 76284232.39999999, Steps: 1368, n_steps: 5000, training_start: 1000
TEST 1: Ep: 123, Score: 76222908.0, Steps: 1371, n_steps: 5000, training_start: 1000
TEST 1: Ep: 124, Score: 76216372.0, Steps: 1374, n_steps: 5000, training_start: 1000
TEST 1: Ep: 125, Score: 76272710.8, Steps: 1377, n_steps: 5000, training_start: 1000
TEST 1: Ep: 126, Score: 76497351.6, Steps: 1380, n_steps: 5000, training_start: 1000
TEST 1: Ep: 127, Score: 76295396.8, Steps: 1383, n_steps: 5000, training_start: 1000
TEST 1: Ep: 128, Score: 76577235.2, Steps: 1386, n_steps: 5000, training_start: 1000
TEST 1: Ep: 129, Score: 76479050.8, Steps: 1389, n_steps: 5000, training_start: 1000
TEST 1: Ep: 130, Score: 76242607.2, Steps: 1392, n_steps: 5000, training_start: 1000
TEST 1: Ep: 131, Score: 76455582.0, Steps: 1395, n_steps: 5000, training_start: 1000
